District,Temperature,Humidity,Pressure,WindSpeed,Precipitation,CloudCover,DayOfYear,MonsoonPhase,Weather
Kozhikode,29.98,82.82,1013.68,14.47,2.02,93.12,357,Post-Monsoon,Cloudy
Kottayam,30.69,90.13,1014.19,6.18,2.52,100.0,251,SouthWest Monsoon,Rainy
Malappuram,29.52,80.51,1011.57,14.37,0.24,70.75,124,Pre-Monsoon,Cloudy
Ernakulam,29.59,69.82,1010.76,6.61,10.5,50.07,37,Post-Monsoon,Rainy
Malappuram,29.56,74.52,1009.21,13.76,17.72,74.47,74,Post-Monsoon,Rainy
Palakkad,30.36,85.73,1015.18,5.73,1.15,83.66,69,Post-Monsoon,Rainy
Wayanad,30.5,100.0,1011.61,12.73,0.39,64.53,129,Pre-Monsoon,Cloudy
Ernakulam,25.33,93.54,999.94,7.22,3.37,34.83,25,Post-Monsoon,Cloudy
Palakkad,27.21,82.71,1011.91,18.57,5.37,57.84,201,SouthWest Monsoon,Cloudy
Thrissur,28.39,89.56,1014.55,11.23,3.4,66.96,141,Pre-Monsoon,Rainy
Wayanad,30.36,83.74,1005.67,5.5,5.29,41.34,267,SouthWest Monsoon,Cloudy
Kollam,33.79,80.14,1007.28,9.79,15.09,73.29,229,SouthWest Monsoon,Rainy
Thiruvananthapuram,26.56,82.46,1010.07,11.63,2.01,25.97,63,Post-Monsoon,Cloudy
Ernakulam,31.64,77.45,1017.01,9.04,10.96,67.75,29,Post-Monsoon,Rainy
Ernakulam,27.29,82.56,1008.4,10.89,3.93,48.82,285,NorthEast Monsoon,Cloudy
Kasaragod,33.11,84.87,1008.47,5.14,6.24,44.03,136,Pre-Monsoon,Cloudy
Thrissur,34.74,81.46,1012.44,9.18,8.92,74.07,9,Post-Monsoon,Cloudy
Kottayam,23.76,78.17,1011.03,3.78,1.55,65.88,295,NorthEast Monsoon,Cloudy
Pathanamthitta,28.02,77.74,1006.67,8.92,2.19,11.7,99,Pre-Monsoon,Cloudy
Wayanad,21.95,79.77,1010.24,18.13,0.2,37.76,297,NorthEast Monsoon,Cloudy
Thrissur,23.93,82.86,1010.28,10.94,7.55,87.12,182,SouthWest Monsoon,Cloudy
Idukki,24.12,78.08,1016.32,5.42,0.37,12.85,232,SouthWest Monsoon,Cloudy
Kozhikode,30.87,86.18,1005.27,8.62,2.73,77.23,153,SouthWest Monsoon,Rainy
Pathanamthitta,30.31,68.91,1010.41,8.16,8.54,17.3,353,Post-Monsoon,Cloudy
Thiruvananthapuram,31.4,83.64,1012.78,16.98,0.54,28.12,92,Pre-Monsoon,Cloudy
Pathanamthitta,30.82,89.76,1015.37,5.63,25.12,55.26,114,Pre-Monsoon,Rainy
Kottayam,30.46,96.13,1007.01,8.5,4.16,68.68,318,NorthEast Monsoon,Rainy
Kasaragod,29.34,81.37,1019.31,5.76,0.67,100.0,183,SouthWest Monsoon,Cloudy
Pathanamthitta,28.61,87.17,1001.62,15.06,0.07,48.0,19,Post-Monsoon,Cloudy
Thiruvananthapuram,32.06,83.64,1002.59,2.78,2.05,60.81,193,SouthWest Monsoon,Cloudy
Kottayam,29.04,90.12,1011.08,5.98,1.25,66.88,288,NorthEast Monsoon,Rainy
Malappuram,30.58,80.03,1001.81,10.89,3.11,47.13,80,Post-Monsoon,Cloudy
Ernakulam,22.01,85.92,1006.85,14.76,3.14,65.78,153,SouthWest Monsoon,Rainy
Kasaragod,25.47,64.62,1012.49,14.06,0.85,52.01,241,SouthWest Monsoon,Cloudy
Ernakulam,31.94,89.86,1017.16,13.51,5.38,78.16,179,SouthWest Monsoon,Rainy
Kozhikode,26.99,82.96,1011.4,11.0,2.66,78.38,142,Pre-Monsoon,Cloudy
Palakkad,24.81,76.38,1011.89,10.47,5.01,62.65,165,SouthWest Monsoon,Cloudy
Malappuram,30.92,84.15,1013.36,15.17,9.97,50.4,114,Pre-Monsoon,Cloudy
Malappuram,29.0,93.25,1002.04,15.28,0.93,42.63,102,Pre-Monsoon,Cloudy
Wayanad,27.78,74.28,1013.07,8.55,2.84,84.36,196,SouthWest Monsoon,Cloudy
Kannur,33.53,74.78,1010.02,8.67,9.21,77.07,66,Post-Monsoon,Cloudy
Pathanamthitta,33.01,68.91,1006.01,4.52,6.41,66.37,138,Pre-Monsoon,Cloudy
Ernakulam,28.44,74.8,1005.19,10.95,1.82,63.84,237,SouthWest Monsoon,Cloudy
Thiruvananthapuram,31.17,74.31,1009.59,11.06,7.06,79.55,127,Pre-Monsoon,Cloudy
Alappuzha,22.28,80.37,1014.08,5.17,2.41,44.78,222,SouthWest Monsoon,Cloudy
Kannur,32.28,82.33,1015.43,12.12,17.77,100.0,133,Pre-Monsoon,Rainy
Alappuzha,25.74,70.72,1009.37,5.91,1.47,91.58,243,SouthWest Monsoon,Cloudy
Kasaragod,24.64,84.49,1015.23,9.21,0.98,67.63,322,NorthEast Monsoon,Cloudy
Kottayam,23.64,83.98,1004.58,14.43,10.55,72.84,111,Pre-Monsoon,Rainy
Ernakulam,23.41,83.8,1007.78,15.35,3.43,63.59,67,Post-Monsoon,Cloudy
Ernakulam,32.24,74.96,1018.56,5.77,6.81,40.05,321,NorthEast Monsoon,Cloudy
Kannur,30.89,97.36,1015.98,7.55,15.0,60.42,275,NorthEast Monsoon,Rainy
Kozhikode,26.7,87.03,1005.97,13.79,1.1,67.19,172,SouthWest Monsoon,Rainy
Kannur,31.56,71.26,1013.71,12.32,0.53,59.03,266,SouthWest Monsoon,Cloudy
Alappuzha,27.22,69.23,1007.16,12.71,1.22,41.83,320,NorthEast Monsoon,Cloudy
Kannur,29.97,75.51,1008.52,0.0,0.61,63.07,168,SouthWest Monsoon,Cloudy
Ernakulam,27.55,82.7,1009.74,5.32,16.35,22.52,194,SouthWest Monsoon,Rainy
Kozhikode,28.64,93.55,1003.33,12.09,6.25,59.62,225,SouthWest Monsoon,Cloudy
Pathanamthitta,26.28,76.57,1011.51,16.08,5.33,93.96,44,Post-Monsoon,Cloudy
Idukki,26.72,69.59,1016.87,7.52,15.14,67.49,54,Post-Monsoon,Rainy
Wayanad,30.63,84.3,1009.25,9.94,19.19,49.53,235,SouthWest Monsoon,Rainy
Kollam,31.11,78.23,1007.25,5.54,12.21,68.09,65,Post-Monsoon,Rainy
Malappuram,27.76,82.86,1007.08,16.3,5.39,41.01,189,SouthWest Monsoon,Cloudy
Kannur,24.42,80.68,999.11,5.79,3.43,43.32,325,NorthEast Monsoon,Cloudy
Kasaragod,36.41,79.82,997.88,13.48,0.22,25.1,325,NorthEast Monsoon,Cloudy
Palakkad,29.11,90.19,1019.31,6.04,10.48,45.74,267,SouthWest Monsoon,Rainy
Kottayam,29.94,86.7,1007.78,0.6,0.53,62.48,33,Post-Monsoon,Cloudy
Idukki,25.22,83.71,1005.4,11.49,0.45,56.08,165,SouthWest Monsoon,Cloudy
Wayanad,32.65,64.76,1005.57,9.62,5.34,71.8,72,Post-Monsoon,Cloudy
Wayanad,33.1,79.96,1009.7,12.35,8.9,46.78,66,Post-Monsoon,Cloudy
Wayanad,23.88,88.9,1008.77,10.81,5.78,57.77,209,SouthWest Monsoon,Cloudy
Wayanad,28.69,74.2,1011.94,5.84,2.27,50.5,239,SouthWest Monsoon,Cloudy
Alappuzha,28.46,80.16,1003.55,8.94,8.84,44.67,240,SouthWest Monsoon,Cloudy
Kasaragod,36.17,81.55,1012.2,14.58,0.03,43.54,19,Post-Monsoon,Cloudy
Kasaragod,33.33,83.8,1012.89,12.98,0.9,38.72,116,Pre-Monsoon,Cloudy
Kozhikode,24.65,78.71,1008.55,12.24,3.48,82.67,227,SouthWest Monsoon,Cloudy
Malappuram,26.82,85.32,1014.09,18.37,10.52,41.79,325,NorthEast Monsoon,Rainy
Ernakulam,26.32,85.03,1016.57,12.25,0.55,57.44,150,SouthWest Monsoon,Cloudy
Wayanad,30.12,74.66,1008.59,13.83,3.49,46.64,12,Post-Monsoon,Cloudy
Palakkad,33.72,75.67,1009.71,3.88,1.15,65.87,314,NorthEast Monsoon,Cloudy
Ernakulam,29.33,83.36,1011.66,13.96,1.22,52.43,238,SouthWest Monsoon,Cloudy
Kasaragod,30.5,93.7,1013.21,11.48,9.21,100.0,235,SouthWest Monsoon,Rainy
Thiruvananthapuram,27.01,90.0,1013.83,12.91,0.92,46.2,55,Post-Monsoon,Cloudy
Thiruvananthapuram,30.49,77.45,1013.39,10.9,0.35,54.65,299,NorthEast Monsoon,Cloudy
Palakkad,27.58,75.56,1013.67,13.37,0.45,42.83,171,SouthWest Monsoon,Cloudy
Kozhikode,24.08,78.95,1010.89,11.0,2.16,93.8,177,SouthWest Monsoon,Cloudy
Kasaragod,30.29,94.27,1013.96,10.78,3.9,22.92,100,Pre-Monsoon,Cloudy
Palakkad,28.97,81.87,1013.77,17.14,0.06,62.55,137,Pre-Monsoon,Cloudy
Alappuzha,25.71,83.45,1009.34,11.38,25.38,70.5,153,SouthWest Monsoon,Rainy
Kannur,33.94,75.4,1016.57,16.6,13.98,65.58,360,Post-Monsoon,Rainy
Palakkad,26.7,82.18,1002.81,12.29,3.13,83.28,313,NorthEast Monsoon,Cloudy
Pathanamthitta,30.83,69.84,1010.73,15.68,0.79,79.1,307,NorthEast Monsoon,Cloudy
Ernakulam,27.91,70.91,1012.04,10.43,0.88,58.86,107,Pre-Monsoon,Cloudy
Idukki,33.63,82.63,1009.9,7.7,2.47,61.26,337,Post-Monsoon,Cloudy
Thrissur,28.29,83.84,1019.05,7.78,12.19,55.69,15,Post-Monsoon,Rainy
Kozhikode,23.98,78.65,1009.52,8.93,2.66,48.13,72,Post-Monsoon,Cloudy
Palakkad,31.43,84.54,1016.97,1.97,2.45,74.62,130,Pre-Monsoon,Cloudy
Kasaragod,33.62,71.66,1007.39,6.4,12.51,48.58,5,Post-Monsoon,Rainy
Kottayam,27.72,79.21,1009.06,14.24,25.36,70.34,304,NorthEast Monsoon,Rainy
Thiruvananthapuram,31.04,76.88,1011.28,13.65,2.42,56.15,2,Post-Monsoon,Cloudy
Pathanamthitta,29.39,81.3,1009.33,11.53,16.42,30.99,129,Pre-Monsoon,Rainy
Malappuram,27.85,79.56,1004.11,17.97,0.69,62.6,331,Post-Monsoon,Cloudy
Wayanad,31.52,100.0,1011.84,7.34,1.11,58.67,333,Post-Monsoon,Cloudy
Thrissur,26.6,74.37,1010.41,11.89,2.85,44.87,191,SouthWest Monsoon,Cloudy
Kozhikode,29.1,81.96,1007.09,12.92,2.41,54.4,235,SouthWest Monsoon,Cloudy
Idukki,29.77,100.0,999.01,9.1,1.31,43.83,332,Post-Monsoon,Cloudy
Thrissur,29.66,86.89,1002.32,8.27,3.23,47.31,106,Pre-Monsoon,Cloudy
Palakkad,26.67,81.68,1002.55,9.81,6.62,31.16,112,Pre-Monsoon,Cloudy
Alappuzha,35.18,88.53,1009.69,8.24,0.85,45.96,78,Post-Monsoon,Cloudy
Thiruvananthapuram,32.79,87.04,1015.55,18.88,2.26,70.88,224,SouthWest Monsoon,Rainy
Kasaragod,31.97,73.17,1006.28,9.61,0.16,65.37,355,Post-Monsoon,Cloudy
Thiruvananthapuram,33.3,69.61,1013.0,12.1,15.52,84.62,205,SouthWest Monsoon,Rainy
Malappuram,29.21,82.77,1004.85,8.51,7.15,73.07,363,Post-Monsoon,Cloudy
Alappuzha,27.89,78.17,1008.79,17.86,1.97,53.38,219,SouthWest Monsoon,Cloudy
Wayanad,25.73,100.0,1008.56,10.17,0.96,66.09,236,SouthWest Monsoon,Rainy
Kasaragod,26.89,90.95,1010.28,4.9,3.78,69.03,318,NorthEast Monsoon,Rainy
Ernakulam,25.96,90.95,1008.98,6.64,1.27,100.0,289,NorthEast Monsoon,Rainy
Kollam,27.42,63.04,1010.25,13.61,3.91,66.38,233,SouthWest Monsoon,Cloudy
Pathanamthitta,29.83,77.28,1014.05,10.77,2.61,79.65,38,Post-Monsoon,Cloudy
Thiruvananthapuram,31.74,81.92,1012.58,13.93,4.05,77.14,265,SouthWest Monsoon,Cloudy
Kottayam,31.66,76.12,1011.09,14.29,3.86,97.18,69,Post-Monsoon,Cloudy
Thiruvananthapuram,25.49,77.0,1010.92,9.06,0.03,68.69,162,SouthWest Monsoon,Cloudy
Thrissur,31.07,79.94,1006.08,9.99,6.03,26.5,181,SouthWest Monsoon,Cloudy
Thiruvananthapuram,32.43,83.0,1007.67,8.67,4.43,60.53,131,Pre-Monsoon,Cloudy
Kozhikode,28.24,100.0,1010.38,11.94,4.64,61.93,274,NorthEast Monsoon,Cloudy
Thiruvananthapuram,32.59,76.62,1010.91,4.46,1.59,60.98,286,NorthEast Monsoon,Cloudy
Kollam,31.63,88.77,1004.04,9.53,15.36,82.37,249,SouthWest Monsoon,Rainy
Kollam,25.21,93.71,999.21,8.39,2.34,26.41,320,NorthEast Monsoon,Cloudy
Wayanad,35.58,74.04,1009.84,10.56,1.4,49.56,43,Post-Monsoon,Cloudy
Idukki,26.85,98.1,1005.08,8.79,0.16,100.0,68,Post-Monsoon,Rainy
Ernakulam,31.87,83.88,1016.95,11.9,4.52,54.72,345,Post-Monsoon,Cloudy
Kottayam,31.76,62.04,1013.37,15.03,8.99,78.19,84,Post-Monsoon,Cloudy
Thiruvananthapuram,25.33,91.77,1012.93,15.62,1.06,28.74,344,Post-Monsoon,Cloudy
Thiruvananthapuram,29.54,69.06,1003.31,8.8,5.72,47.13,151,SouthWest Monsoon,Cloudy
Pathanamthitta,31.73,93.66,1014.37,14.33,0.02,90.47,64,Post-Monsoon,Rainy
Kasaragod,25.3,89.79,1006.86,0.69,4.52,71.05,25,Post-Monsoon,Rainy
Kollam,29.3,73.68,1013.83,12.37,0.37,68.96,148,Pre-Monsoon,Cloudy
Kottayam,31.98,78.88,1014.32,4.78,11.36,61.54,256,SouthWest Monsoon,Rainy
Wayanad,32.17,87.48,1002.18,14.29,1.68,59.47,78,Post-Monsoon,Cloudy
Malappuram,27.81,77.56,1005.02,15.17,3.37,74.23,290,NorthEast Monsoon,Cloudy
Idukki,33.63,95.92,1017.31,12.86,2.48,29.25,225,SouthWest Monsoon,Cloudy
Ernakulam,32.92,89.32,1002.58,8.76,4.32,71.8,209,SouthWest Monsoon,Rainy
Alappuzha,29.72,70.04,1012.69,6.19,1.88,38.9,174,SouthWest Monsoon,Sunny
Ernakulam,27.02,80.6,1004.69,10.27,12.96,62.48,122,Pre-Monsoon,Rainy
Kozhikode,25.5,86.16,1015.83,9.4,1.97,51.54,144,Pre-Monsoon,Cloudy
